candidate,parent,depth,isolated,joint,ratio,iso_admits,joint_admits
m3,a8.h6,3,0.0004849433898925781,0.000217437744140625,2.2302631578947367,False,False
m1,a8.h6,3,-4.1484832763671875e-05,7.62939453125e-06,5.4375,False,False
m3,a8.h6,3,0.0008075237274169922,-2.288818359375e-05,35.28125,False,False
m1,a8.h6,3,0.013639211654663086,-0.000530242919921875,25.72257194244604,False,False
m3,a8.h6,3,0.017885684967041016,-0.0003662109375,48.83984375,False,False
m1,a5.h5,4,-5.0067901611328125e-06,-1.9073486328125e-06,2.625,False,False
m1,a5.h5,4,-0.003377199172973633,-0.00286102294921875,1.1804166666666667,False,False
m1,a5.h5,4,-1.6450881958007812e-05,1.9073486328125e-06,8.625,False,False
m1,a5.h5,4,-0.007820367813110352,-0.00372314453125,2.1004738729508197,False,False
m1,a8.h6,4,3.170967102050781e-05,0.0001068115234375,0.296875,False,False
m3,a8.h6,4,0.00010371208190917969,8.392333984375e-05,1.2357954545454546,False,False
m1,a8.h6,4,-1.1920928955078125e-06,0.0,1192092.8955078125,False,False
m3,a8.h6,4,5.7220458984375e-06,-1.9073486328125e-06,3.0,False,False
m1,a5.h5,4,9.5367431640625e-06,1.9073486328125e-05,0.5,False,False
m1,a5.h5,4,-0.0006296634674072266,0.002960205078125,0.21270940721649484,False,False
m1,a8.h6,4,-0.0003216266632080078,-0.00078582763671875,0.4092839805825243,False,False
m3,a8.h6,4,-0.0016028881072998047,0.0074672698974609375,0.21465517241379312,False,False
m1,a8.h6,4,-5.7220458984375e-06,-3.814697265625e-05,0.15,False,False
m3,a8.h6,4,-3.62396240234375e-05,0.0001430511474609375,0.25333333333333335,False,False
m1,a5.h5,4,-1.7881393432617188e-05,5.7220458984375e-06,3.125,False,False
m1,a5.h5,4,-0.009107589721679688,-0.002651214599609375,3.435251798561151,False,False
m1,a5.h5,4,-4.029273986816406e-05,-9.5367431640625e-06,4.225,False,False
m1,a5.h5,4,-0.007218837738037109,-0.002338409423828125,3.0870717781402934,False,False
m1,a5.h5,4,-2.6226043701171875e-05,5.7220458984375e-06,4.583333333333333,False,False
m1,a5.h5,4,-0.003638744354248047,0.0005588531494140625,6.511092150170649,False,False
m1,a8.h6,4,-0.00238800048828125,-0.002429962158203125,0.9827315541601256,False,False
m3,a8.h6,4,-0.002687692642211914,-0.003627777099609375,0.7408648790746583,False,False
m1,a8.h6,4,9.655952453613281e-05,1.9073486328125e-05,5.0625,False,False
m3,a8.h6,4,-0.00020933151245117188,-7.62939453125e-05,2.74375,False,False
