model,modality,pos,strategy,hyperparam,faith_all,faith_attn,%nodes,%heads,%mlps,comps,heads,mlps,paths,time_s,TO,peak_mb,search_mb
meta-llama/Meta-Llama-3-8B,pmp,nopos,LimitedLevelWidth,max_width=1000,-0.001869158878504673,0.09174454828660436,7.291666666666667,7.03125,15.625,77,72,5,85.0,3600.4992492198944,True,19854.76953125,134.2001953125
meta-llama/Meta-Llama-3-8B,pmp,nopos,Threshold,min_contribution=0.1,,,0.0,0.0,0.0,0,0,0,0.0,1724.8858969211578,False,19854.95556640625,134.38623046875
meta-llama/Meta-Llama-3-8B,pmp,nopos,Threshold,min_contribution=0.5,,,0.0,0.0,0.0,0,0,0,0.0,76.41266417503357,False,19854.74853515625,134.17919921875
meta-llama/Meta-Llama-3-8B,pmp,nopos,Threshold,min_contribution=0.02,-0.004361370716510903,0.017445482866043614,1.7045454545454546,0.87890625,28.125,18,9,9,15.0,3601.1434364318848,True,19877.7314453125,157.162109375
meta-llama/Meta-Llama-3-8B,pmp_batched,nopos,BestFirstSearch,top_n=100,-0.0021806853582554517,0.09766355140186916,4.545454545454546,3.3203125,43.75,48,34,14,100.0,453.9635992050171,False,19854.78515625,134.2158203125
meta-llama/Meta-Llama-3-8B,pmp_batched,nopos,BestFirstSearch,top_n=1000,-0.003894080996884735,0.12710280373831775,6.912878787878788,5.46875,53.125,73,56,17,1000.0,467.24670362472534,False,19855.21630859375,134.64697265625
meta-llama/Meta-Llama-3-8B,pmp_batched,nopos,LimitedLevelWidth,max_width=100,-0.002803738317757009,0.045950155763239874,3.503787878787879,2.05078125,50.0,37,21,16,37.0,229.975759267807,False,19854.76171875,134.1923828125
meta-llama/Meta-Llama-3-8B,pmp_batched,nopos,LimitedLevelWidth,max_width=1000,0.3705607476635514,0.8014018691588785,49.81060606060606,49.21875,68.75,526,504,22,1888.0,2596.5300612449646,False,19855.66552734375,135.09619140625
meta-llama/Meta-Llama-3-8B,pmp_batched,nopos,Threshold,min_contribution=0.1,,,0.0,0.0,0.0,0,0,0,0.0,82.76519298553467,False,19854.9013671875,134.33203125
meta-llama/Meta-Llama-3-8B,pmp_batched,nopos,Threshold,min_contribution=0.5,,,0.0,0.0,0.0,0,0,0,0.0,3.8838958740234375,False,19854.748046875,134.1787109375
meta-llama/Meta-Llama-3-8B,pmp_batched,nopos,Threshold,min_contribution=0.02,0.08457943925233645,0.19049844236760125,24.526515151515152,23.14453125,68.75,259,237,22,343.0,3604.24786734581,True,20066.48681640625,345.91748046875
